Timestamp,Score,What grade level are you?,How often do you feel positive in school?,How often do you feel supported by your teachers and advisors?,How often do you feel listened to by your teachers and advisors?,How often do you feel listened to and supported by your friends?,How do you feel you are managing the workload?,To what extent do you feel the workload is making you feel stressed?,"Overall, how do you feel about the first few months of school?"
11/27/2024 7:45:56,,11,7,7,7,8,7,8,7
11/27/2024 7:46:20,,11,7,9,8,6,5,3,8
11/27/2024 7:46:30,,9,8,9,10,3,7,4,5
11/27/2024 7:47:21,,9,9,9,9,7,8,6,8
11/27/2024 7:47:26,,11,2,9,9,9,3,1,1
11/27/2024 7:47:53,,10,7,7,7,8,8,3,5
11/27/2024 7:48:25,,10,8,9,9,10,7,7,9
11/27/2024 7:49:44,,9,9,9,9,9,9,9,9
11/27/2024 7:49:51,,10,9,9,9,10,9,8,9
11/27/2024 7:50:05,,8,9,9,8,9,7,7,9
11/27/2024 7:50:10,,8,7,8,4,4,8,3,7
11/27/2024 7:51:02,,9,7,8,9,8,7,3,7
11/27/2024 7:51:24,,9,8,8,8,8,8,6,8
11/27/2024 7:52:27,,9,9,8,9,10,9,9,9
11/27/2024 7:52:33,,11,8,6,6,10,7,9,8
11/27/2024 7:52:34,,11,7,6,6,8,5,1,6
11/27/2024 7:52:40,,8,8,7,8,9,6,4,7
11/27/2024 7:52:41,,11,7,8,8,8,7,8,7
11/27/2024 7:52:48,,6,10,10,10,1,10,10,10
11/27/2024 7:52:55,,6,10,10,9,10,10,10,10
11/27/2024 7:53:01,,9,8,6,8,9,10,7,6
11/27/2024 7:53:06,,11,8,9,9,8,7,8,8
11/27/2024 7:53:09,,11,10,10,10,10,6,8,9
11/27/2024 7:53:21,,10,7,6,6,8,8,7,7
11/27/2024 7:53:25,,11,7,7,7,7,7,7,7
11/27/2024 7:53:31,,6,9,9,9,9,8,7,9
11/27/2024 7:53:31,,9,6,9,8,7,6,5,7
11/27/2024 7:53:42,,6,7,9,8,8,7,6,8
11/27/2024 7:53:47,,6,8,9,8,9,3,2,7
11/27/2024 7:53:52,,11,8,7,7,9,8,5,8
11/27/2024 7:53:58,,11,8,8,9,9,5,3,7
11/27/2024 7:54:07,,6,9,10,9,7,6,3,10
11/27/2024 7:54:08,,9,10,10,10,10,10,10,10
11/27/2024 7:54:11,,10,6,8,8,8,5,3,4
11/27/2024 7:54:16,,6,9,10,9,8,8,7,9
11/27/2024 7:54:17,,6,8,9,9,9,8,8,9
11/27/2024 7:54:22,,11,10,10,10,10,10,10,10
11/27/2024 7:54:39,,6,7,10,10,10,3,3,10
11/27/2024 7:54:59,,11,5,7,7,6,5,3,4
11/27/2024 7:55:08,,11,8,10,10,9,7,4,9
11/27/2024 7:55:14,,7,7,8,8,5,2,4,5
11/27/2024 7:55:19,,10,6,8,8,9,5,3,4
