Timestamp,Score,What grade level are you?,How often do you feel positive in school?,How often do you feel supported by your teachers and advisors?,How often do you feel listened to by your teachers and advisors?,How often do you feel listened to and supported by your friends?,How do you feel you are managing the workload?,To what extent do you feel the workload is making you feel stressed?,"Overall, how do you feel about the first few months of school?",Middle school only: What could be improved to make the Mindful Moment more useful or engaging for you?,High school only: What could be improved to make the Mindful Moment more useful or engaging for you?
2/19/2025 7:53:43,0 / 2,11,6,6,6,7,6,1,2,,
2/19/2025 7:54:42,0 / 2,11,9,9,9,10,8,7,8,,Spend more time to do the Mindful Moment
2/19/2025 7:55:07,0 / 2,8,9,9,10,10,7,8,8,I think it is alright the way it is,n/a
2/19/2025 7:55:10,0 / 2,11,9,9,9,7,8,8,7,,
2/19/2025 7:55:14,0 / 2,9,5,7,7,9,4,9,5,,none at all thanks
2/19/2025 7:55:14,0 / 2,9,8,8,9,9,7,6,7,,Mindful moment should stress the importance of silence in the room to actually clear the mind of student.
2/19/2025 7:55:30,0 / 2,8,9,8,8,10,7,5,8,I don't think anything can be improved. Ms Niamh is doing great.,
2/19/2025 7:55:38,0 / 2,11,7,10,9,9,4,4,5,,intergrate it in class time
2/19/2025 7:55:45,0 / 2,8,7,9,10,7,5,3,5,"- make it less frequent (once two weeks)
- make it a thing where students from different grades engage",
2/19/2025 7:55:47,0 / 2,10,7,10,10,10,6,5,7,,n/a
2/19/2025 7:55:53,0 / 2,8,7,8,7,9,7,7,6,i feel neutral,
2/19/2025 7:55:58,0 / 2,8,3,7,5,8,2,1,4,u could add more interactive activities,
2/19/2025 7:56:28,0 / 2,11,10,10,9,9,10,6,10,,More time to meditate
2/19/2025 7:56:35,0 / 2,9,5,8,8,9,6,4,5,,
2/19/2025 7:56:38,0 / 2,9,7,7,8,9,7,8,8,N/A,"I think the mindful moment doesn't feel useful to me in the mornings. despite its objective which is to calm us down, the overall space that we are doing this activity is not suitable"
2/19/2025 7:56:40,0 / 2,9,8,8,8,8,6,7,7,,N/A
2/19/2025 7:56:44,0 / 2,8,8,8,8,9,8,8,8,there should be weeks where mindful moments use visualization,
2/19/2025 7:56:44,0 / 2,11,7,9,9,9,8,10,8,,
2/19/2025 7:56:46,0 / 2,8,8,10,10,10,8,5,10,"I would like to suggest one idea : Can the mindful moment include Q&A questions, so students can share their problems and Ms.Niamh can answer them",
